*abissus,*abissī ^ abyssus,abyssī ^ N ^ an abyss, great depth ^ *
nisī ^ nisi ^ CONJ ^ if not, unless ^ final 'i' regularized to be long
*nocticorax,*nocticorācis ^ nycticorax,nycticoracis ^ N ^ night raven ^ use Latin root for night rather than Greek 
oblīdō,oblīdere,oblīsī,oblīsum ^ * ^ V ^ to crush, squeeze ^ *
obruō,obruere,*obrūvī,*obrūtum ^ obruō,obruere,obruī,obrutum ^ V ^ to overwhelm, overpower ^ see note for pluō,pluere,plūvī,x
occīdō,occīdere,*occīsī,occīsum ^ occīdō,occīdere,occīdī,occīsum ^ V ^ to cut, kill, slay ^ perfect tense changes 'd' to 's', see oblīdō,oblīdere,oblīsī,oblīsum
occidō,occidere,*occisī,occisum ^ occidō,occidere,occidī,occisum ^ V ^ to fall, perish, be ruined ^ perfect tense changes 'd' to 's'
ostendō,ostendere,*ostensī,ostensum ^ ostendō,ostendere,ostendī,ostensum ^ V ^ to expose to view, show, reveal ^ perfect tense changes 'd' to 's', see oblīdō,oblīdere,oblīsī,oblīsum 
pluō,pluere,plūvī,x ^ pluō,pluere,pluī,x ^ V ^ to rain ^ revive old Latin perfect -ūvī
polluō,polluere,*pollūvī,pollūtum ^ polluō,polluere,polluī,pollūtum ^ V ^ to soil, defile, pollute ^ see note for pluō,pluere,plūvī,x
promptuārium,promptuāriī ^ * ^ N ^ repository, storehouse ^ *
psallō,psallere,*psalsī,x ^ psallō,psallere,*psallī,x ^ V ^ to chant, sing, give praise, sing psalms
quasī ^ quasi ^ CONJ ^ as if, like ^ see note for nisī
renuō,renuere,*renūvī,x ^ renuō,renuere,renuī,x ^ V ^ to nod the head backwards as sign of refusal, deny, reject ^ see note for pluō,pluere,plūvī,x
reptilis,reptile ^ * ^ ADJ ^ crawling, creeping ^ *
restituō,restituere,*restitūvī,restitūtum ^ restituō,restituere,restituī,restitūtum ^ V ^ to replace, restore, rebuild ^ see note for pluō,pluere,plūvī,x
restribuō,retribuere,*retribūvī,retribūtum ^ restribuō,retribuere,retribuī,retribūtum ^ V ^ to give back, repay (money), recompense ^ see note for pluō,pluere,plūvī,x
ruō,ruere,*rūvī,rūtum ^ ruō,ruere,ruī,rutum ^ V ^ to rush, fall ^ see note for pluō,pluere,plūvī,x
saepe,saepis ^ * ^ ADJ ^ frequent, occuring often ^ *
*saepiter ^ saepe ^ ADV ^ frequently, often, many times ^ normalize to third declension adverb paradigm, see saepis
Sion,Siōnis ^ * ^ Zion ^ *
statuō,statuere,*statūvī,statūtum ^ statuō,statuere,statuī,statūtum ^ V ^ to set up, establish, erect ^ see note for pluō,pluere,plūvī,x
scrībō,scrībere,scripsī,scriptum ^ * ^ V ^ to write ^ *
surruō,surruere,*surrūvī,*surrūtum ^ surruō,surruere,surruī,surrutum ^ V ^ to undermine, overthrow ^ see note for pluō,pluere,plūvī,x
tezaurizō,tezaurizāre,tezsaurizāvī,tezaurizātum ^ thēsaurizō,thēsaurizāre,thēsaurizāvī,thēsaurizātum ^ V ^ to gather or lay up treasure ^ *
tezaurus,tezaurī ^ thēsaurus,thēsaurī ^ N ^ treasury, hoard, vault, repository ^ see Romanian tezaur
tribuō,tribuere,*tribūvī,tribūtum ^ tribuō,tribuere,tribuī,tribūtum ^ V ^ to grant, bestow, yield ^ see note for pluō,pluere,plūvī,x
trōnus,trōnī ^ thronus,thronī ^ N ^ throne ^ match modern ecclesiastical pronunciation
*vittus,*vittūs ^ victus,victūs ^ living, nourishment, that which is necessary for life ^ Italianate spelling, distinguishes from victus,victa,victum
*vulātilis,*vulātile ^ volātilis,volātile ^ ADJ ^flying, winged ^ see note for *vulō,*vulāre,*vulāvī,*vulātum
*vulō,*vulāre,*vulāvī,*vulātum ^ volō,volāre,volāvī,volātum ^ V ^ to fly ^ unstressed 'o' weakening to 'u', provides greater distinction between volō,velle,voluī,x
